3D points: 815

 222.03101, 73.449333, -0.0072727157, 1;
 223.70576, 73.521858, -0.015672926, 1;
 249.16888, 74.576714, -0.1449946, 1;
 250.02963, 74.614136, -0.14931028, 1;
 459.55588, 83.611145, -1.2024608, 1;
 470.33267, 84.081764, -1.256469, 1;
 500.74353, 85.395477, -1.4090792, 1;
 504.09869, 85.541992, -1.4258937, 1;
 208.39551, 72.841156, 0.057293076, 1;
 243.90047, 74.347198, -0.12041055, 1;
 452.37772, 83.298515, -1.1684989, 1;
 466.24014, 83.903915, -1.237985, 1;
 473.78479, 84.233368, -1.2758033, 1;
 475.95087, 84.32795, -1.286661, 1;
 494.16531, 85.109184, -1.3781644, 1;
 91.774529, 67.935799, 0.64286995, 1;
 234.23203, 73.954567, -0.072432473, 1;
 240.97574, 74.247124, -0.10626359, 1;
 249.30162, 74.581589, -0.14931414, 1;
 455.83923, 83.450562, -1.1878451, 1;
 492.06857, 85.018585, -1.3696846, 0.99999994;
 495.91254, 85.186447, -1.3889567, 1;
 228.74556, 73.715851, -0.046701297, 1;
 260.67282, 75.075623, -0.20816059, 1;
 439.93347, 82.756729, -1.1100615, 1;
 440.96957, 82.801971, -1.1152569, 1;
 447.73083, 83.097298, -1.1491613, 1;
 449.82056, 83.18856, -1.1596402, 1;
 463.51144, 83.786461, -1.228294, 1;
 459.53851, 83.613792, -1.2103319, 1;
 464.96741, 83.836838, -1.2377602, 1;
 469.73422, 84.045059, -1.2616677, 1;
 489.03046, 84.88781, -1.3584481, 1;
 441.13885, 82.811066, -1.1199716, 1;
 445.77036, 83.013351, -1.1432053, 1;
 453.53781, 83.35257, -1.1821709, 1;
 445.5752, 83.005653, -1.1441357, 1;
 453.30365, 83.34317, -1.1829133, 1;
 456.41196, 83.478912, -1.1985091, 1;
 461.25113, 83.676407, -1.2229855, 1;
 215.90921, 73.177452, 0.011060928, 1;
 220.86855, 73.3713, -0.014145448, 1;
 241.13617, 74.224403, -0.11714577, 1;
 255.2554, 74.838379, -0.1880331, 1;
 437.2446, 82.642632, -1.1042205, 1;
 438.76526, 82.709053, -1.1118518, 1;
 461.49857, 83.688148, -1.2261314, 1;
 478.77359, 84.442657, -1.3128244, 1;
 481.41708, 84.558098, -1.3260907, 1;
 218.45615, 73.265961, -0.0037293495, 1;
 429.06195, 82.286041, -1.0650145, 1;
 431.56473, 82.395355, -1.0775768, 1;
 443.66714, 82.923943, -1.1383232, 1;
 477.36444, 84.382019, -1.3076546, 1;
 215.94499, 73.177177, 0.0074985591, 1;
 250.36499, 74.624901, -0.16689563, 1;
 434.93927, 82.543556, -1.0963602, 1;
 448.1951, 83.108856, -1.1631007, 1;
 235.56773, 73.981033, -0.094245657, 1;
 247.35059, 74.493416, -0.15343626, 1;
 251.44997, 74.671692, -0.17402907, 1;
 427.35733, 82.213188, -1.0601177, 1;
 436.79498, 82.625389, -1.1075063, 1;
 439.29361, 82.73452, -1.1200527, 1;
 441.79861, 82.84391, -1.1326309, 1;
 450.51913, 83.211281, -1.1766084, 1;
 453.05264, 83.321945, -1.1893296, 1;
 218.4744, 73.264679, -0.0088197608, 1;
 427.25574, 82.209534, -1.0614116, 1;
 435.65503, 82.576385, -1.1035941, 1;
 441.1282, 82.815407, -1.1310815, 1;
 463.48526, 83.778503, -1.2435497, 1;
 467.57574, 83.957153, -1.2640929, 1;
 212.08598, 73.007347, 0.021944247, 1;
 275.74731, 75.692909, -0.29993758, 1;
 426.17633, 82.163162, -1.0577768, 1;
 441.11472, 82.802231, -1.1330009, 0.99999994;
 442.10846, 82.845642, -1.1379923, 1;
 449.59305, 83.172592, -1.1755873, 1;
 463.20895, 83.767311, -1.2439805, 1;
 231.77213, 73.814789, -0.080083467, 1;
 256.00314, 74.850548, -0.20212516, 1;
 268.71487, 75.403969, -0.26600796, 1;
 269.54117, 75.439949, -0.2701605, 1;
 272.0246, 75.548065, -0.28264087, 1;
 417.35748, 81.778732, -1.015241, 1;
 437.34216, 82.651581, -1.1156437, 1;
 240.8347, 74.208496, -0.12724644, 1;
 248.43826, 74.539192, -0.16546981, 0.99999994;
 252.19275, 74.684456, -0.18459602, 1;
 305.78082, 76.965446, -0.45550001, 1;
 413.46994, 81.60968, -0.99745202, 0.99999994;
 416.82422, 81.756203, -1.0143067, 1;
 439.8009, 82.746574, -1.1299454, 1;
 458.65005, 83.569901, -1.2246594, 1;
 459.6521, 83.613663, -1.2296944, 1;
 245.90739, 74.428749, -0.15434925, 0.99999994;
 272.07135, 75.532646, -0.28637484, 1;
 279.07938, 75.83802, -0.32160258, 1;
 436.22549, 82.59124, -1.1137241, 1;
 451.94376, 83.277832, -1.1927196, 1;
 268.02335, 75.373291, -0.26738989, 1;
 279.62259, 75.861656, -0.32594487, 1;
 416.24832, 81.732536, -1.0148535, 1;
 447.30347, 83.075981, -1.1711369, 1;
 226.89743, 73.601273, -0.061895233, 0.99999994;
 238.18896, 74.092331, -0.11868828, 1;
 250.15166, 74.595001, -0.17910205, 1;
 276.88278, 75.742241, -0.31376472, 1;
 302.03085, 76.802666, -0.4415122, 1;
 436.42822, 82.601776, -1.1181843, 1;
 445.64737, 83.004471, -1.1645336, 1;
 452.49573, 83.303581, -1.1989639, 1;
 234.60121, 73.935928, -0.10219181, 1;
 240.05681, 74.173195, -0.12963642, 1;
 251.98996, 74.67485, -0.18990812, 0.99999994;
 266.89774, 75.307114, -0.26512638, 0.99999994;
 287.70334, 76.20948, -0.37060899, 1;
 298.72406, 76.658615, -0.42647257, 1;
 234.14714, 73.915825, -0.10144193, 1;
 299.18112, 76.678864, -0.43034363, 1;
 232.1604, 73.829056, -0.092964455, 1;
 280.30594, 75.871056, -0.33673215, 1;
 425.11765, 82.110123, -1.0663385, 1;
 446.54385, 83.046028, -1.1741135, 1;
 234.01765, 73.909477, -0.10381721, 1;
 241.45168, 74.215477, -0.1414734, 1;
 244.54665, 74.350227, -0.1570487, 1;
 264.66193, 75.209602, -0.25850531, 1;
 271.69385, 75.532211, -0.29366514, 1;
 229.76981, 73.72438, -0.083927028, 1;
 251.01701, 74.631752, -0.19111525, 1;
 283.76151, 76.022118, -0.35716999, 0.99999994;
 431.03122, 82.370026, -1.0993643, 1;
 436.68268, 82.616882, -1.1278011, 1;
 258.38397, 74.935982, -0.22991847, 1;
 280.27271, 75.870064, -0.34111643, 1;
 285.60208, 76.087227, -0.36815202, 1;
 224.59035, 73.492516, -0.061585043, 1;
 237.36053, 74.036812, -0.12532498, 1;
 258.20996, 74.928352, -0.2305242, 0.99999994;
 259.37549, 74.979149, -0.23639184, 0.99999994;
 277.48926, 75.764252, -0.32838169, 0.99999994;
 424.7757, 82.098312, -1.0711005, 0.99999994;
 429.41162, 82.300819, -1.094435, 1;
 225.68459, 73.539864, -0.068534859, 1;
 241.06685, 74.19799, -0.14544304, 1;
 246.39175, 74.429848, -0.17225777, 1;
 250.21477, 74.596291, -0.19150946, 0.99999994;
 272.11621, 75.483498, -0.30344257, 1;
 281.83127, 75.923157, -0.35213992, 0.99999994;
 413.7037, 81.615402, -1.0169475, 1;
 416.8959, 81.75486, -1.0330173, 1;
 430.23279, 82.337448, -1.1001576, 1;
 419.58002, 81.872871, -1.0480964, 1;
 431.50882, 82.393921, -1.1081582, 1;
 253.34615, 74.716293, -0.21181913, 0.99999994;
 404.51337, 81.228226, -0.97514057, 1;
 218.3053, 73.217506, -0.036981363, 1;
 276.72037, 75.715958, -0.33196765, 1;
 417.15436, 81.769112, -1.0404972, 1;
 424.96344, 82.098526, -1.0799942, 1;
 213.81755, 73.02787, -0.014974725, 1;
 217.95131, 73.201813, -0.036569662, 1;
 220.48001, 73.311905, -0.049314693, 1;
 229.9153, 73.711594, -0.096337795, 1;
 400.12204, 81.037697, -0.95603532, 0.99999994;
 411.31158, 81.514595, -1.0125721, 1;
 412.64563, 81.572868, -1.0192932, 0.99999994;
 421.07156, 81.941635, -1.0632461, 1;
 246.19351, 74.399803, -0.18208922, 0.99999994;
 415.3829, 81.682335, -1.0362225, 0.99999994;
 237.17886, 74.022392, -0.13778326, 1;
 272.31311, 75.524231, -0.31532311, 1;
 403.37836, 81.170151, -0.9770295, 0.99999994;
 405.99277, 81.284363, -0.99020725, 1;
 407.30264, 81.341583, -0.99680936, 1;
 234.51004, 73.905869, -0.12698793, 1;
 393.67206, 80.770592, -0.93066686, 1;
 396.13327, 80.855698, -0.94480962, 1;
 403.55185, 81.168488, -0.98237181, 0.99999994;
 404.41168, 81.206062, -0.98670763, 0.99999994;
 405.27231, 81.243668, -0.99104732, 1;
 226.78099, 73.573967, -0.089899763, 1;
 388.70224, 80.554596, -0.90843201, 1;
 389.96735, 80.609825, -0.91481292, 1;
 398.2998, 80.951027, -0.95714521, 1;
 210.03186, 72.85495, -0.0071715512, 1;
 224.28551, 73.465149, -0.078600511, 1;
 227.54115, 73.591873, -0.097135745, 1;
 399.31979, 80.985077, -0.96383965, 1;
 208.01016, 72.766678, 0.0017661832, 1;
 395.41229, 80.826202, -0.94536418, 1;
 203.08263, 72.551392, 0.022915019, 1;
 205.10822, 72.639595, 0.012688074, 1;
 206.12277, 72.683769, 0.0075656897, 1;
 387.53625, 80.495056, -0.90955383, 1;
 203.28506, 72.559502, 0.01826375, 1;
 204.28519, 72.60305, 0.013212144, 1;
 215.31778, 73.073586, -0.042047054, 1;
 222.60429, 73.385971, -0.079514571, 1;
 204.80075, 72.624832, 0.0070631509, 1;
 206.45108, 72.696693, -0.0012759968, 1;
 218.18739, 73.183403, -0.062065743, 1;
 198.40039, 72.345673, 0.03709593, 1;
 196.54559, 72.264679, 0.045331493, 1;
 202.375, 72.518539, 0.015864391, 1;
 197.08992, 72.29377, 0.042084131, 1;
 199.53502, 72.394638, 0.029088162, 0.99999994;
 199.61403, 72.397873, 0.027565615, 1;
 205.20953, 72.62706, -0.0009183943, 1;
 203.54268, 72.568756, 0.0065848259, 1;
 211.73846, 72.901802, -0.036279961, 1;
 209.82828, 72.828186, -0.026498845, 1;
 194.87439, 72.190628, 0.047136262, 1;
 206.20358, 72.660118, -0.013703202, 1;
 70.538338, 66.917053, 0.67498267, 1;
 195.8703, 72.233208, 0.037836038, 1;
 205.11273, 72.61245, -0.011329317, 1;
 193.58907, 72.133469, 0.047301605, 1;
 197.08543, 72.272026, 0.029422099, 1;
 185.17839, 71.780739, 0.088022597, 1;
 169.07124, 71.137939, 0.16935083, 0.99999994;
 183.31233, 71.685265, 0.096281037, 1;
 190.84712, 72.013474, 0.058124945, 1;
 194.29395, 72.150085, 0.040493552, 1;
 180.64923, 71.583046, 0.10895137, 1;
 188.84471, 71.926071, 0.067262627, 1;
 182.38701, 71.644577, 0.098976322, 1;
 187.46005, 71.86557, 0.073280834, 1;
 197.94191, 72.299309, 0.017922811, 1;
 181.61407, 71.610367, 0.099961601, 1;
 178.82611, 71.488731, 0.11312692, 1;
 195.20941, 72.17997, 0.028860403, 1;
 181.88676, 71.621902, 0.096662208, 1;
 185.10428, 71.762062, 0.080356136, 1;
 181.73076, 71.614929, 0.096504442, 1;
 182.73566, 71.658539, 0.090469062, 1;
 193.42188, 72.101898, 0.035080414, 1;
 96.397903, 68.010399, 0.52868295, 1;
 185.76286, 71.790253, 0.074187376, 1;
 190.707, 71.983337, 0.046985477, 0.99999994;
 171.04314, 71.161888, 0.14714192, 1;
 177.40187, 71.425652, 0.11472855, 1;
 180.25914, 71.550148, 0.10024069, 1;
 181.69135, 71.612541, 0.092978656, 1;
 183.70041, 71.700073, 0.082791477, 1;
 190.52087, 71.975197, 0.047011822, 1;
 177.83394, 71.444313, 0.11162496, 1;
 184.11316, 71.717888, 0.079782665, 1;
 173.33591, 71.248009, 0.13263319, 1;
 177.84201, 71.444344, 0.1097778, 0.99999994;
 178.40695, 71.468956, 0.10691243, 1;
 187.40601, 71.839157, 0.060095616, 1;
 189.1149, 71.913795, 0.051429313, 1;
 170.21042, 71.117172, 0.14810807, 1;
 178.2682, 71.462753, 0.10672248, 1;
 180.24109, 71.548721, 0.09671481, 1;
 181.65306, 71.610229, 0.089552395, 1;
 187.23476, 71.83168, 0.060074244, 1;
 199.7377, 72.370087, -0.0029912977, 1;
 187.34721, 71.836586, 0.058620196, 1;
 166.68799, 70.970505, 0.16300215, 1;
 185.60762, 71.76062, 0.065696776, 1;
 246.32109, 74.36924, -0.24287061, 0.99999994;
 173.01965, 71.233444, 0.12984413, 1;
 244.7357, 74.300209, -0.23571855, 1;
 245.24469, 74.322723, -0.23918511, 1;
 246.13788, 74.361771, -0.243717, 1;
 246.7338, 74.387802, -0.24674077, 1;
 247.33014, 74.413872, -0.24976657, 0.99999994;
 174.70638, 71.306641, 0.1195683, 1;
 169.67412, 71.087204, 0.14426304, 1;
 170.76282, 71.134651, 0.1387367, 1;
